epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,lr
1,1334,1.572485,1.572485,87.8219,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1335,1.507680,1.507680,87.6453,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1336,1.129109,1.129109,90.3840,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1337,1.508820,1.508820,99.0838,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1338,1.097245,1.097245,79.2005,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1339,2.293279,2.293279,114.6682,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1376,1.273063,1.273063,99.1267,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1377,1.367906,1.367906,110.9553,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1378,1.440238,1.440238,99.2841,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1379,1.260974,1.260974,99.8791,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1380,1.359202,1.359202,120.4050,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1381,1.479046,1.479046,98.6297,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1417,1.564078,1.564078,102.8394,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1418,1.465401,1.465401,101.7368,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1419,1.175233,1.175233,84.0181,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1420,1.268195,1.268195,104.2211,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1421,1.655409,1.655409,99.2069,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1422,1.630781,1.630781,108.9324,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1459,1.821655,1.821655,93.6574,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1460,1.421373,1.421373,96.3597,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1461,1.303505,1.303505,99.0814,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1462,1.310366,1.310366,81.8475,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1463,1.295141,1.295141,71.6641,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1464,1.403046,1.403046,116.7852,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1501,1.910231,1.910231,94.8560,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1502,1.306983,1.306983,89.3643,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1503,1.248343,1.248343,86.8689,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1504,1.156873,1.156873,89.5801,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1505,1.237326,1.237326,82.4111,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1506,1.042299,1.042299,88.6289,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1542,1.480240,1.480240,117.1938,0.000000,0.000000,0.000000,0.000000,0.00100000
1,1543,1.549587,1.549587,115.1227,0.000000,0.000000,0.000000,0.000000,0.00100000
